verb,2nd pl present active indicative,2nd pl present passive indicative,2nd pl imperfect active indicative,2nd pl imperfect passive indicative,2nd pl future active indicative,2nd pl future passive indicative,2nd pl perfect active indicative,2nd pl perfect passive indicative,2nd pl pluperfect active indicative,2nd pl pluperfect passive indicative,2nd pl present active subjunctive,2nd pl present passive subjunctive,2nd pl imperfect active subjunctive,2nd pl imperfect passive subjunctive,2nd pl perfect active subjunctive,2nd pl perfect passive subjunctive,2nd pl pluperfect active subjunctive,2nd pl pluperfect passive subjunctive
accipio/accipere/accepi/acceptus,accipitis,accipimini,accipiebatis,accipiebamini,accipietis,accipiemini,accepistis,accepti estis,acceperatis,accepti eratis,accipiatis,accipiamini,acciperetis,acciperemini,acceperitis,accepti sitis,accepissetis,accepti essetis
appono/apponere/apposui/appositus,apponitis,apponimini,apponebatis,apponebamini,apponetis,apponemini,apposuistis,appositi estis,apposueratis,appositi eratis,apponatis,apponamini,apponeretis,apponeremini,apposueritis,appositi sitis,apposuissetis,appositi essetis
habeo/habere/habui/habitus,habetis,habemini,habebatis,habebamini,habebitis,habebimini,habuistis,habiti estis,habueratis,habiti eratis,habeatis,habeamini,haberetis,haberemini,habueritis,habiti sitis,habuissetis,habiti essetis
monstro/monstrare/monstravi/monstratus,monstratis,monstramini,monstrabatis,monstrabamini,monstrabitis,monstrabimini,monstravistis,monstrati estis,monstraveratis,monstrati eratis,monstretis,monstremini,monstraretis,monstraremini,monstraveritis,monstrati sitis,monstravissetis,monstrati essetis
invenio/invenire/inveni/inventus,invenitis,invenimini,inveniebatis,inveniebamini,invenietis,inveniemini,invenistis,inventi estis,inveneratis,inventi eratis,inveniatis,inveniamini,inveniretis,inveniremini,inveneritis,inventi sitis,invenissetis,inventi essetis
