verb,1st pl present active indicative,1st pl present passive indicative,1st pl imperfect active indicative,1st pl imperfect passive indicative,1st pl future active indicative,1st pl future passive indicative,1st pl perfect active indicative,1st pl perfect passive indicative,1st pl pluperfect active indicative,1st pl pluperfect passive indicative,1st pl present active subjunctive,1st pl present passive subjunctive,1st pl imperfect active subjunctive,1st pl imperfect passive subjunctive,1st pl perfect active subjunctive,1st pl perfect passive subjunctive,1st pl pluperfect active subjunctive,1st pl pluperfect passive subjunctive
accipio/accipere/accepi/acceptus,accipimus,accipimur,accipiebamus,accipiebamur,accipiemus,accipiemur,accepimus,accepti sumus,acceperamus,accepti eramus,accipiamus,accipiamur,acciperemus,acciperemur,acceperimus,accepti simus,accepissemus,accepti essemus
appono/apponere/apposui/appositus,apponimus,apponimur,apponebamus,apponebamur,apponemus,apponemur,apposuimus,appositi sumus,apposueramus,appositi eramus,apponamus,apponamur,apponeremus,apponeremur,apposuerimus,appositi simus,apposuissemus,appositi essemus
habeo/habere/habui/habitus,habemus,habemur,habebamus,habebamur,habebimus,habebimur,habuimus,habiti sumus,habueramus,habiti eramus,habeamus,habeamur,haberemus,haberemur,habuerimus,habiti simus,habuissemus,habiti essemus
monstro/monstrare/monstravi/monstratus,monstramus,monstramur,monstrabamus,monstrabamur,monstrabimus,monstrabimur,monstravimus,monstrati sumus,monstraveramus,monstrati eramus,monstremus,monstremur,monstraremus,monstraremur,monstraverimus,monstrati simus,monstravissemus,monstrati essemus
invenio/invenire/inveni/inventus,invenimus,invenimur,inveniebamus,inveniebamur,inveniemus,inveniemur,invenimus,inventi sumus,inveneramus,inventi eramus,inveniamus,inveniamur,inveniremus,inveniremur,invenerimus,inventi simus,invenissemus,inventi essemus
