substantive,nom sg,gen sg,dat sg,acc ag,abl sg,nom pl,gen pl,dat pl,acc pl,abl pl
fortis acies,fortis acies,fortis aciei,forti aciei,fortem aciem,forti acie,fortes acies,fortium acierum,fortibus aciebus,fortes acies,fortibus aciebus
hoc cornu,hoc cornu,huius cornus,huic cornu,hoc cornu,hoc cornu,haec cornua,horum cornuum,his cornibus,haec cornua,his cornibus
bonus exitus,bonus exitus,boni exitus,bono exitui,bonum exitum,bono exitu,boni exitus,bonorum exituum,bonis exitibus,bonos exitus,bonis exitibus
illa dies,illa dies,illius diei,illi diei,illam diem,illa die,illae dies,illarum dierum,illis diebus,illas dies,illis diebus
perpetua fides,perpetua fides,perpetuae fidei,perpetuae fidei,perpetuam fidem,perpetua fide,perpetuae fides,perpetuarum fiderum,perpetuis fidebus,perpetuas fides,perpetuis fidebus
horribilis iussus,horribilis iussus,horribilis iussus,horribili iussui,horribilem iussum,horribili iussu,horribiles iussus,horribilium iussuum,horribilibus iussibus,horribiles iussus,horribilibus iussibus
longa manus,longa manus,longae manus,longae manui,longam manum,longa manu,longae manus,longarum manuum,longis manibus,longas manus,longis manibus
insignis dies,insignis dies,insignis diei,insigni diei,insignem diem,insigni diei,insignes dies,insignium dierum,insignibus diebus,insignes dies,insignibus diebus
