verb,3rd sg present active indicative,3rd sg present passive indicative,3rd sg imperfect active indicative,3rd sg imperfect passive indicative,3rd sg future active indicative,3rd sg future passive indicative,3rd sg present active subjunctive,3rd sg present passive subjunctive,3rd sg imperfect active subjunctive,3rd sg imperfect passive subjunctive
accipio/accipere/accepi/acceptus,accipit,accipitur,accipiebat,accipiebatur,accipiet,accipietur,accipiat,accipiatur,acciperet,acciperetur
appono/apponere/apposui/appositus,apponit,apponitur,apponebat,apponebatur,apponet,apponetur,apponat,apponatur,apponeret,apponeretur
habeo/habere/habui/habitus,habet,habetur,habebat,habebatur,habebit,habebitur,habeat,habeatur,haberet,haberetur
monstro/monstrare/monstravi/monstratus,monstrat,monstratur,monstrabat,monstrabatur,monstrabit,monstrabitur,monstret,monstretur,monstraret,monstraretur
invenio/invenire/inveni/inventus,invenit,invenitur,inveniebat,inveniebatur,inveniet,invenietur,inveniat,inveniatur,inveniret,inveniretur
