verb,2nd sg present active indicative,2nd sg present passive indicative,2nd sg imperfect active indicative,2nd sg imperfect passive indicative,2nd sg future active indicative,2nd sg future passive indicative,2nd sg perfect active indicative,2nd sg perfect passive indicative,2nd sg pluperfect active indicative,2nd sg pluperfect passive indicative,2nd sg present active subjunctive,2nd sg present passive subjunctive,2nd sg imperfect active subjunctive,2nd sg imperfect passive subjunctive,2nd sg perfect active subjunctive,2nd sg perfect passive subjunctive,2nd sg pluperfect active subjunctive,2nd sg pluperfect passive subjunctive
accipio/accipere/accepi/acceptus,accipis,acciperis,accipiebas,accipiebaris,accipies,accipieris,accepisti,acceptus es,acceperas,acceptus eras,accipias,accipiaris,acciperes,accipereris,acceperis,acceptus sis,accepisses,acceptus esses
appono/apponere/apposui/appositus,apponis,apponeris,apponebas,apponebaris,appones,apponeris,apposuisti,appositus es,apposueras,appositus eras,apponas,apponaris,apponeres,apponereris,apposueris,appositus sis,apposuisses,appositus esses
habeo/habere/habui/habitus,habes,haberis,habebas,habebaris,habebis,habeberis,habuisti,habitus es,habueras,habitus eras,habeas,habearis,haberes,habereris,habueris,habitus sis,habuisses,habitus esses
monstro/monstrare/monstravi/monstratus,monstras,monstraris,monstrabas,monstrabaris,monstrabis,monstraberis,monstravisti,monstratus es,monstraveras,monstratus eras,monstres,monstreris,monstrares,monstrareris,monstraveris,monstratus sis,monstravisses,monstratus esses
invenio/invenire/inveni/inventus,invenis,inveniris,inveniebas,inveniebaris,invenies,invenieris,invenisti,inventus es,inveneras,inventus eras,invenias,inveniaris,invenires,invenireris,inveneris,inventus sis,invenisses,inventus esses
