verb,1st sg present active indicative,1st sg present passive indicative,1st sg imperfect active indicative,1st sg imperfect passive indicative,1st sg future active indicative,1st sg future passive indicative,1st sg perfect active indicative,1st sg perfect passive indicative,1st sg pluperfect active indicative,1st sg pluperfect passive indicative,1st sg present active subjunctive,1st sg present passive subjunctive,1st sg imperfect active subjunctive,1st sg imperfect passive subjunctive,1st sg perfect active subjunctive,1st sg perfect passive subjunctive,1st sg pluperfect active subjunctive,1st sg pluperfect passive subjunctive
accipio/accipere/accepi/acceptus,accipio,accipior,accipiebam,accipiebar,accipiam,accipiar,accepi,acceptus sum,acceperam,acceptus eram,accipiam,accipiar,acciperem,acciperer,acceperim,acceptus sim,accepissem,acceptus essem
appono/apponere/apposui/appositus,appono,apponor,apponebam,apponebar,apponam,apponar,apposui,appositus sum,apposueram,appositus eram,apponam,apponar,apponerem,apponerer,apposuerim,appositus sim,apposuissem,appositus essem
habeo/habere/habui/habitus,habeo,habeor,habebam,habebar,habebo,habebor,habui,habitus sum,habueram,habitus eram,habeam,habear,haberem,haberer,habuerim,habitus sim,habuissem,habitus essem
monstro/monstrare/monstravi/monstratus,monstro,monstror,monstrabam,monstrabar,monstrabo,monstrabor,monstravi,monstratus sum,monstraveram,monstratus eram,monstrem,monstrer,monstrarem,monstrarer,monstraverim,monstratus sim,monstravissem,monstratus essem
invenio/invenire/inveni/inventus,invenio,invenior,inveniebam,inveniebar,inveniam,inveniar,inveni,inventus sum,inveneram,inventus eram,inveniam,inveniar,invenirem,invenirer,invenerim,inventus sim,invenissem,inventus essem
