verb,3rd sg present active indicative,3rd sg present passive indicative,3rd sg imperfect active indicative,3rd sg imperfect passive indicative,3rd sg future active indicative,3rd sg future passive indicative,3rd sg perfect active indicative,3rd sg perfect passive indicative,3rd sg present active subjunctive,3rd sg present passive subjunctive,3rd sg imperfect active subjunctive,3rd sg imperfect passive subjunctive,3rd sg perfect active subjunctive,3rd sg perfect passive subjunctive,3rd sg pluperfect active subjunctive,3rd sg pluperfect passive subjunctive
accipio/accipere/accepi/acceptus,accipit,accipitur,accipiebat,accipiebatur,accipiet,accipietur,accepit,acceptus est,accipiat,accipiatur,acciperet,acciperetur,acceperit,acceptus sit,accepisset,acceptus esset
appono/apponere/apposui/appositus,apponit,apponitur,apponebat,apponebatur,apponet,apponetur,apposuit,appositus est,apponat,apponatur,apponeret,apponeretur,apposuerit,appositus sit,apposuisset,appositus esset
habeo/habere/habui/habitus,habet,habetur,habebat,habebatur,habebit,habebitur,habuit,habitus est,habeat,habeatur,haberet,haberetur,habuerit,habitus sit,habuisset,habitus esset
monstro/monstrare/monstravi/monstratus,monstrat,monstratur,monstrabat,monstrabatur,monstrabit,monstrabitur,monstravit,monstratus est,monstret,monstretur,monstraret,monstraretur,monstraverit,monstratus sit,monstravisset,monstratus esset
invenio/invenire/inveni/inventus,invenit,invenitur,inveniebat,inveniebatur,inveniet,invenietur,invenit,inventus est,inveniat,inveniatur,inveniret,inveniretur,invenerit,inventus sit,invenisset,inventus esset
