verb,3rd sg perfect active indicative,3rd sg perfect passive indicative,3rd sg pluperfect active indicative,3rd sg pluperfect passive indicative,3rd sg perfect active subjunctive,3rd sg perfect passive subjunctive,3rd sg pluperfect active subjunctive,3rd sg pluperfect passive subjunctive
accipio/accipere/accepi/acceptus,accepit,acceptus est,acceperat,acceptus erat,acceperit,acceptus sit,accepisset,acceptus esset
appono/apponere/apposui/appositus,apposuit,appositus est,apposuerat,appositus erat,apposuerit,appositus sit,apposuisset,appositus esset
habeo/habere/habui/habitus,habuit,habitus est,habuerat,habitus erat,habuerit,habitus sit,habuisset,habitus esset
monstro/monstrare/monstravi/monstratus,monstravit,monstratus est,monstraverat,monstratus erat,monstraverit,monstratus sit,monstravisset,monstratus esset
invenio/invenire/inveni/inventus,invenit,inventus est,invenerat,inventus erat,invenerit,inventus sit,invenisset,inventus esset
