verb,3rd sg present active indicative,3rd sg present passive indicative,3rd sg imperfect active indicative,3rd sg imperfect passive indicative,3rd sg future active indicative,3rd sg future passive indicative,3rd sg perfect active indicative,3rd sg perfect passive indicative,3rd sg imperfect active subjunctive,3rd sg imperfect passive subjunctive,3rd sg pluperfect active subjunctive,3rd sg pluperfect passive subjunctive
sum/esse/fui,est,X,erat,X,erit,X,fuit,X,esset,X,fuisset,X
volo/velle/volui,vult,X,volebat,X,volet,X,voluit,X,vellet,X,voluisset,X
nolo/nolle/nolui,non vult,X,nolebat,X,nolet,X,noluit,X,nollet,X,noluisset,X
eo/ire/ii,it,X,ibat,X,ibit,X,iit,X,iret,X,isset,X
fero/ferre/tuli/latus,fert,fertur,ferebat,ferebatur,feret,feretur,tulit,latus est,ferret,ferretur,tulisset,latus esset
